电影名称	评分	评价人数	
﻿肖申克的救赎	9.7	1779716人	
霸王别姬	9.6	1313407人	
阿甘正传	9.5	1369466人	
这个杀手不太冷	9.4	1564135人	
美丽人生	9.5	875677人	
泰坦尼克号	9.4	1308259人	
千与千寻	9.3	1400220人	
辛德勒的名单	9.5	703932人	
盗梦空间	9.3	1331157人	
忠犬八公的故事	9.3	904903人	
海上钢琴师	9.3	1096466人	
机器人总动员	9.3	879859人	
三傻大闹宝莱坞	9.2	1212719人	
楚门的世界	9.3	957797人	
放牛班的春天	9.3	846808人	
星际穿越	9.3	972836人	
大话西游之大圣娶亲	9.2	950350人	
熔炉	9.3	576018人	
龙猫	9.2	820498人	
无间道	9.2	778340人	
教父	9.3	602334人	
疯狂动物城	9.2	1117385人	
当幸福来敲门	9.1	978524人	
怦然心动	9.0	1113467人	
触不可及	9.2	640359人	
﻿蝙蝠侠：黑暗骑士	9.2	655154人	
活着	9.2	505933人	
控方证人	9.6	239445人	
乱世佳人	9.3	436762人	
少年派的奇幻漂流	9.1	941717人	
摔跤吧！爸爸	9.0	980107人	
指环王3：王者无敌	9.2	480975人	
飞屋环游记	9.0	864960人	
寻梦环游记	9.1	934049人	
末代皇帝	9.2	431062人	
十二怒汉	9.4	289963人	
鬼子来了	9.2	404502人	
天空之城	9.1	553234人	
天堂电影院	9.2	447772人	
大话西游之月光宝盒	9.0	768072人	
哈尔的移动城堡	9.0	628678人	
罗马假日	9.0	637113人	
何以为家	9.1	507731人	
素媛	9.2	379197人	
搏击俱乐部	9.0	589171人	
闻香识女人	9.0	550745人	
辩护人	9.2	384575人	
窃听风暴	9.1	374422人	
死亡诗社	9.1	455020人	
教父2	9.2	329888人	
﻿指环王2：双塔奇兵	9.1	443828人	
狮子王	9.0	500975人	
两杆大烟枪	9.1	398900人	
飞越疯人院	9.1	402498人	
指环王1：魔戒再现	9.0	498862人	
哈利·波特与魔法石	9.0	552082人	
V字仇杀队	8.9	699096人	
饮食男女	9.1	357464人	
美丽心灵	9.0	489802人	
大闹天宫	9.3	228842人	
我不是药神	9.0	1340518人	
钢琴家	9.1	326853人	
黑客帝国	9.0	493861人	
本杰明·巴顿奇事	8.9	641651人	
海豚湾	9.3	265785人	
看不见的客人	8.8	730006人	
情书	8.9	595727人	
让子弹飞	8.8	1046337人	
猫鼠游戏	8.9	481919人	
西西里的美丽传说	8.9	623596人	
小鞋子	9.2	249917人	
拯救大兵瑞恩	9.0	412993人	
美国往事	9.2	275189人	
音乐之声	9.0	380902人	
致命魔术	8.9	549370人	
﻿穿条纹睡衣的男孩	9.1	304607人	
七宗罪	8.8	646523人	
低俗小说	8.8	549254人	
被嫌弃的松子的一生	8.9	491163人	
沉默的羔羊	8.8	545999人	
蝴蝶效应	8.8	602581人	
春光乍泄	8.9	406825人	
心灵捕手	8.9	448237人	
禁闭岛	8.8	598795人	
布达佩斯大饭店	8.8	562322人	
勇敢的心	8.9	416667人	
剪刀手爱德华	8.7	736921人	
天使爱美丽	8.7	711590人	
阿凡达	8.7	870287人	
摩登时代	9.3	174292人	
加勒比海盗	8.7	574616人	
致命ID	8.8	502247人	
断背山	8.8	492081人	
喜剧之王	8.7	587431人	
幽灵公主	8.9	362299人	
入殓师	8.8	425948人	
海蒂和爷爷	9.2	192394人	
阳光灿烂的日子	8.8	414021人	
狩猎	9.1	220014人	
重庆森林	8.7	518908人	
﻿第六感	8.9	356006人	
绿皮书	8.9	914701人	
杀人回忆	8.8	394646人	
小森林 夏秋篇	9.0	258186人	
请以你的名字呼唤我	8.9	379750人	
消失的爱人	8.7	581914人	
玛丽和马克思	8.9	310234人	
告白	8.7	504259人	
红辣椒	9.0	242956人	
一一	9.0	229269人	
爱在黎明破晓前	8.8	367936人	
大鱼	8.8	381561人	
7号房的礼物	8.9	318840人	
哈利·波特与死亡圣器(下)	8.8	463502人	
阳光姐妹淘	8.8	415402人	
侧耳倾听	8.9	288256人	
射雕英雄传之东成西就	8.7	422667人	
超脱	8.9	291775人	
小森林 冬春篇	9.0	225684人	
甜蜜蜜	8.8	335581人	
倩女幽魂	8.7	450333人	
蝙蝠侠：黑暗骑士崛起	8.7	464587人	
驯龙高手	8.7	489231人	
唐伯虎点秋香	8.6	629262人	
菊次郎的夏天	8.8	322736人	
﻿萤火之森	8.8	303025人	
恐怖直播	8.8	394028人	
爱在日落黄昏时	8.8	318385人	
幸福终点站	8.8	344045人	
超能陆战队	8.7	630854人	
借东西的小人阿莉埃蒂	8.8	341966人	
无人知晓	9.1	160383人	
风之谷	8.9	262363人	
神偷奶爸	8.6	635923人	
上帝之城	8.9	214950人	
怪兽电力公司	8.7	407401人	
玩具总动员3	8.8	315837人	
血战钢锯岭	8.7	526145人	
电锯惊魂	8.7	322693人	
完美的世界	9.1	148024人	
岁月神偷	8.7	425297人	
喜宴	8.9	218991人	
时空恋旅人	8.7	343692人	
傲慢与偏见	8.6	479557人	
七武士	9.2	121906人	
谍影重重3	8.8	281211人	
英雄本色	8.7	315218人	
疯狂原始人	8.7	568482人	
教父3	8.9	217925人	
真爱至上	8.6	479471人	
﻿萤火虫之墓	8.7	295732人	
被解救的姜戈	8.7	398446人	
东邪西毒	8.6	398238人	
心迷宫	8.7	310180人	
爆裂鼓手	8.7	357953人	
三块广告牌	8.7	550906人	
纵横四海	8.8	255969人	
记忆碎片	8.6	405418人	
贫民窟的百万富翁	8.6	530080人	
黑天鹅	8.6	591351人	
哪吒闹海	9.0	152577人	
荒蛮故事	8.8	257054人	
达拉斯买家俱乐部	8.8	292477人	
我是山姆	8.9	183341人	
花样年华	8.6	369396人	
你的名字。	8.4	868026人	
天书奇谭	9.2	115859人	
功夫	8.5	560817人	
头号玩家	8.7	922383人	
雨人	8.7	287759人	
卢旺达饭店	8.9	181386人	
头脑特工队	8.7	377658人	
忠犬八公物语	9.1	113734人	
你看起来好像很好吃	8.9	222634人	
一个叫欧维的男人决定去死	8.8	226183人	
﻿无敌破坏王	8.7	342250人	
模仿游戏	8.7	391145人	
未麻的部屋	8.9	167580人	
海边的曼彻斯特	8.6	323460人	
冰川时代	8.5	415945人	
恋恋笔记本	8.5	423575人	
黑客帝国3：矩阵革命	8.7	260386人	
二十二	8.7	191980人	
虎口脱险	8.9	154035人	
雨中曲	9.0	136545人	
海街日记	8.7	243588人	
人工智能	8.6	284454人	
房间	8.8	254942人	
海洋	9.1	122413人	
釜山行	8.4	669319人	
恐怖游轮	8.4	508908人	
魔女宅急便	8.6	305881人	
惊魂记	8.9	145438人	
人生果实	9.5	62597人	
燃情岁月	8.8	199587人	
罗生门	8.8	197566人	
穿越时空的少女	8.6	273433人	
魂断蓝桥	8.8	179845人	
疯狂的石头	8.4	510790人	
新世界	8.8	187729人	
﻿奇迹男孩	8.6	368025人	
终结者2：审判日	8.7	226799人	
哈利·波特与阿兹卡班的囚徒	8.6	322007人	
完美陌生人	8.5	365910人	
阿飞正传	8.5	324974人	
可可西里	8.8	189469人	
猜火车	8.5	323185人	
初恋这件小事	8.4	696265人	
牯岭街少年杀人事件	8.8	165975人	
香水	8.5	390641人	
2001太空漫游	8.8	177268人	
爱在午夜降临前	8.8	191572人	
哈利·波特与密室	8.5	339934人	
谍影重重2	8.6	238768人	
谍影重重	8.6	284985人	
战争之王	8.6	243561人	
无耻混蛋	8.6	324171人	
地球上的星星	8.9	134690人	
青蛇	8.5	332048人	
新龙门客栈	8.6	286322人	
浪潮	8.7	187498人	
朗读者	8.5	349809人	
源代码	8.4	556815人	
绿里奇迹	8.8	167609人	
步履不停	8.8	158518人	
﻿城市之光	9.3	75576人	
血钻	8.6	223186人	
彗星来的那一夜	8.5	315273人	
小偷家族	8.7	511033人	
小萝莉的猴神大叔	8.4	310317人	
疯狂的麦克斯4：狂暴之路	8.6	332243人	
再次出发之纽约遇见你	8.5	271558人	
追随	8.9	119373人	
一次别离	8.7	181901人	
东京物语	9.2	81702人	
色，戒	8.4	418517人	
遗愿清单	8.6	221802人	
聚焦	8.8	188906人	
大佛普拉斯	8.7	226879人	
发条橙	8.5	262055人	
撞车	8.6	235105人	
驴得水	8.3	578645人	
黑鹰坠落	8.7	188800人	
梦之安魂曲	8.7	154507人	
我爱你	9.0	95798人	
E.T. 外星人	8.6	233269人	
千钧一发	8.8	150151人	
末路狂花	8.7	150469人	
变脸	8.5	295323人	
这个男人来自地球	8.5	266031人	

Dassdasdasd
